# BlockID	CalibrationCoeff
0	0.289906
1	0.203184
2	0.184897
3	0.188479
4	0.161262
5	0.128115
6	0.287215
7	0.211071
8	0.0158306
9	0.241142
10	0.22055
11	0.138249
12	0.122857
13	0.154501
14	0.210831
15	0.362645
16	0.841031
17	0.186321
18	0.235418
19	0.233373
20	0.297521
21	0.167354
22	0.245325
23	0.247763
24	0.230303
25	0.117064
26	0.0721643
27	0.123889
28	0.340799
29	0.164956
30	0.246382
31	0.220946
32	0.278812
33	0.300588
34	0.841031
35	0.207766
36	0.246626
37	0.242956
38	0.27479
39	0.254606
40	0.267386
41	0.282693
42	0.214127
43	0.237594
44	0.265849
45	0.28208
46	0.283699
47	0.348792
48	0.289056
49	0.265343
50	0.255753
51	0.309817
52	0.353595
53	0.110541
54	0.0688183
55	0.277697
56	0.123937
57	0.279439
58	0.262692
59	0.252416
60	0.244208
61	0.233851
62	0.179054
63	0.237442
64	0.242043
65	0.232786
66	0.252704
67	0.193937
68	0.308624
69	0.166505
70	0.254997
71	0.119521
72	0.160646
73	0.070958
74	0.172867
75	0.192995
76	0.17485
77	0.143079
78	0.263266
79	0.311714
80	0.226562
81	0.228118
82	0.231256
83	0.195122
84	4.42969
85	0.213967
86	0.224805
87	0.341899
88	0.300539
89	0.342556
90	0.161698
91	0.262789
92	0.239507
93	0.327804
94	0.242335
95	0.841031
96	0.374506
97	0.253824
98	0.278261
99	0.291273
100	0.236429
101	0.278157
102	0.27457
103	0.255375
104	0.296246
105	0.248588
106	0.184501
107	0.265855
108	0.246814
109	0.263854
110	0.568534
111	0.205125
112	0.266422
113	0.253908
114	0.271509
115	0.157766
116	0.282307
117	0.192951
118	0.245172
119	0.207745
120	0.841031
121	0.275932
122	0.30249
123	0.279185
124	0.343451
125	0.203061
126	0.230102
127	0.399783
128	0.194247
129	0.295946
130	0.25372
131	0.409675
132	0.224427
133	0.235536
134	0.0917812
135	0.271126
136	0.271516
137	0.258967
138	0.26685
139	0.168689
140	0.337046
141	0.325842
142	0.331476
143	0.322015
144	0.266242
145	0.300129
146	0.16705
147	0.249435
148	0.239147
149	0.265513
150	0.419824
151	0.386576
152	0.202609
153	0.280386
154	0.285127
155	0.336257
156	0.292225
157	0.190638
158	0.261622
159	0.288433
160	0.335387
161	0.244046
162	0.311113
163	0.290346
164	0.37122
165	0.274023
166	0.271845
167	0.300606
168	0.24897
169	0.424451
170	0.34459
171	0.264522
172	0.341793
173	0.280422
174	0.288186
175	0.2336
176	0.273514
177	0.259731
178	0.268489
179	0.274642
180	0.263536
181	0.279738
182	0.238902
183	0.25253
184	0.304646
185	0.352541
186	0.315803
187	0.374261
188	0.295199
189	0.353286
190	0.189538
191	0.358144
192	0.301169
193	0.411736
194	0.0694955
195	0.206504
196	0.223927
197	0.270417
198	0.258511
199	0.172714
200	0.187706
201	0.298208
202	0.348205
203	0.233446
204	0.261513
205	0.127621
206	0.434878
207	0.27336
208	0.206839
209	0.230163
210	0.356097
211	0.27546
212	0.318143
213	0.321838
214	0.412291
215	0.29378
216	0.201353
217	0.350286
218	0.228734
219	0.258376
220	0.304469
221	0.325343
222	0.315204
223	0.254118
224	0.28797
225	0.408551
226	0.308178
227	0.286258
228	0.369289
229	0.322868
230	0.311501
231	0.364985
232	0.326793
233	0.928447
234	0.244612
235	0.358381
236	0.283415
237	0.309266
238	0.257478
239	0.372266
240	0.210875
241	0.232189
242	0.294053
243	0.238441
244	0.265379
245	0.266462
246	0.308297
247	0.347966
248	0.283369
249	0.237075
250	0.341229
251	0.251283
252	0.486878
253	0.415923
254	0.364887
255	0.283946
256	0.335091
257	0.339125
258	0.303737
259	0.32457
260	0.260315
261	0.368788
262	0.376623
263	0.234941
264	0.241234
265	0.275941
266	0.324789
267	0.405513
268	0.25978
269	0.250428
270	0.314777
271	0.282976
272	0.346636
273	0.381895
274	0.320655
275	0.330416
276	0.269564
277	0.354242
278	0.828222
279	0.443095
280	0.341113
281	0.154747
282	6.75391
283	0.238867
284	0.29926
285	0.841031
286	0.369204
287	0.206009
288	0.280638
289	0.232352
290	0.204809
291	0.325189
292	0.316344
293	0.3101
294	0.283485
295	0.388717
296	0.363213
297	0.422009
298	0.380936
299	0.203151
300	0.251073
301	0.448998
302	0.437563
303	0.223583
304	0.729074
305	0.356287
306	0.422619
307	0.312175
308	1.05204
309	0.31138
310	0.309972
311	0.351553
312	0.104937
313	0.306902
314	0.315289
315	0.841031
316	0.31283
317	0.319831
318	0.348385
319	0.30812
320	0.273821
321	0.378137
322	0.326471
323	0.382692
324	0.30364
325	0.250889
326	0.426823
327	0.39403
328	0.326957
329	0.232726
330	0.245616
331	0.368424
332	0.236072
333	0.314038
334	0.315632
335	0.420073
336	0.224486
337	0.329404
338	0.236386
339	0.316141
340	0.381997
341	0.299664
342	0.306037
343	0.3031
344	0.388086
345	0.365455
346	0.393183
347	0.285113
348	0.841031
349	0.457531
350	0.237045
351	0.304369
352	0.298693
353	0.386452
354	0.329314
355	0.297217
356	0.342288
357	0.206986
358	0.377567
359	0.266999
360	0.225558
361	0.290839
362	0.379454
363	0.841031
364	0.293739
365	0.284848
366	0.289788
367	0.574131
368	0.241942
369	0.402438
370	0.395168
371	0.377501
372	0.461011
373	0.444432
374	0.334637
375	0.366827
376	0.310496
377	0.356728
378	0.310087
379	0.321174
380	0.363982
381	0.289741
382	0.303739
383	0.291279
384	0.343375
385	0.24605
386	0.208569
387	0.164955
388	0.310793
389	0.205309
390	0.451062
391	0.24333
392	0.432875
393	0.354829
394	0.334201
395	0.36893
396	0.34266
397	0.35725
398	0.325018
399	0.326448
400	0.38885
401	0.335776
402	0.288302
403	0.305499
404	0.492163
406	0.243029
407	0.295963
408	0.250274
409	0.417918
410	0.233144
411	0.349364
412	0.331965
413	0.227792
414	0.262913
415	0.303093
416	0.315264
417	0.224834
418	0.322922
419	0.841031
420	0.293526
421	0.299954
422	0.841031
423	0.250362
424	0.504021
425	0.301091
426	0.320263
427	0.296207
428	0.356825
429	0.447918
430	0.354938
431	0.391745
432	0.316851
433	0.287131
434	0.287191
435	0.272502
436	0.30647
437	0.283213
438	0.332413
439	0.24666
440	0.841031
441	0.197197
442	0.339257
443	0.373829
444	0.325694
445	0.311287
446	0.269395
447	0.356874
448	0.311873
449	0.452167
450	0.35015
451	0.337706
452	0.330137
453	0.331109
454	0.284424
455	0.408799
456	0.34435
457	0.295312
458	0.415981
459	0.421291
460	0.155155
461	0.302953
462	0.238684
463	0.231706
464	0.17681
465	0.272562
466	0.382624
467	0.296475
468	0.230203
469	0.281524
470	0.323491
471	0.317037
472	0.258324
473	0.298201
474	0.841031
475	0.329875
476	0.324253
477	0.360235
478	0.305083
479	0.332597
480	0.333335
481	0.314974
482	0.283795
483	0.297111
484	0.422704
485	0.290356
486	0.361347
487	0.841031
488	0.390997
489	0.32329
490	0.353766
491	0.280175
492	0.238586
493	0.369273
494	0.104252
495	0.223013
496	0.320968
497	0.197544
498	0.298805
499	0.316778
500	0.317323
501	0.319424
502	0.328419
503	0.310329
504	0.319338
505	0.327211
506	0.340565
507	0.343082
508	0.335381
509	0.376341
510	0.388794
511	0.281023
512	0.354365
513	0.327448
514	0.277112
515	0.227901
516	0.263767
517	0.201122
518	0.243025
519	0.371466
520	0.244023
521	0.300561
522	0.223463
523	0.275194
524	0.336375
525	0.307346
526	0.252305
527	0.318184
528	0.271524
529	0.316465
530	0.309463
531	0.32435
532	0.426176
533	0.331769
534	0.260207
535	1.40007
536	0.441039
537	0.327034
538	0.303603
539	0.320057
540	0.250516
541	0.315012
542	0.314204
543	0.395321
544	0.263267
545	0.20981
546	0.285212
547	0.251929
548	0.166039
549	0.325432
550	0.256057
551	0.343051
552	0.33757
553	0.297238
554	0.302174
555	0.28966
556	0.385634
557	0.290071
558	0.312206
559	0.270153
560	0.409156
561	0.304916
562	0.297063
563	0.341696
564	0.327529
565	0.399358
566	0.348654
567	0.294567
568	0.276429
569	0.298673
570	0.218657
571	0.368497
572	0.297848
573	0.275279
574	0.310076
575	0.224035
576	0.289019
577	0.256961
578	0.303072
579	0.28844
580	0.313609
581	0.325432
582	0.782197
583	0.333369
584	0.331626
585	0.357333
586	0.416198
587	0.378514
